자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,501,98,6960336,6597087,123.2572339295201,116.8246325482557
강동구,367,22,2515582,2460905,91.57894353635007,89.58844515635808
강북구,410,71,3998077,3858057,126.46539507812994,122.03634465743025
강서구,567,51,3981173,3963283,86.93276705389117,86.54212158267097
관악구,466,81,5862490,5996915,134.94671178325623,138.04099624795708
광진구,274,43,2365355,2382437,107.49170643035674,108.26798454896614
구로구,486,80,4204229,4023135,114.70041468871065,109.75978065149779
금천구,346,56,3133461,3014364,123.08838433436776,118.41002474761362
노원구,495,58,3553485,3497450,83.35643912737508,82.0419892094769
도봉구,366,54,2771076,2695540,101.64982942665345,98.87898463005759
동대문구,307,74,4530373,4426822,127.57301757152511,124.65707366523992
동작구,435,93,4125466,3979142,108.46784456013042,104.62065520323921
마포구,558,100,4517711,4395035,95.57854316965324,92.98315949816997
서대문구,456,109,5069197,4978622,104.7203297043816,102.84921602247609
서초구,601,99,5919552,5755058,113.62122113668208,110.46388606307222
성동구,432,58,2371151,2331836,90.49503854667583,88.99458056636898
성북구,595,98,5051648,5060251,112.28878812127678,112.4800168933938
송파구,470,60,4746623,4744766,99.0034832304355,98.96475054229936
양천구,319,57,3478159,3344254,96.4520950611464,92.73880369374116
영등포구,465,100,4987187,5041026,116.71121668109804,117.9711684725375
용산구,326,69,3495720,3422432,119.96293754289636,117.44790665751545
은평구,497,74,4296944,4223666,93.7256031060507,92.12725210487284
종로구,356,105,4500874,4348356,123.29810431733509,119.11998685075608
중구,173,102,3138112,3050645,113.69971014492754,110.53061594202899
중랑구,384,50,3200879,3155827,79.08286596664608,77.96978381717109
