date,hour,PM10,PM2.5,ozone,temperature,precipitation,windspeed,humidity,visibility,count
2021-04-01,1,42.0,21.0,0.002,13.1,0,1.4,49,2000,46
2021-04-01,2,41.0,21.0,0.003,12.4,0,2.1,53,2000,40
2021-04-01,3,30.0,13.0,0.023,13.1,0,3.4,43,2000,31
2021-04-01,4,27.0,12.0,0.028,13.0,0,3.1,44,2000,12
2021-04-01,5,29.0,14.0,0.008,13.0,0,2.9,44,2000,30
2021-04-01,6,31.0,14.0,0.009,12.6,0,3.0,45,2000,77
2021-04-01,7,30.0,10.0,0.018,12.0,0,3.5,46,2000,171
2021-04-01,8,39.0,10.0,0.027,14.0,0,3.5,43,2000,330
2021-04-01,9,35.0,10.0,0.032,16.2,0,4.3,38,2000,218
2021-04-01,10,31.0,9.0,0.033,18.2,0,3.7,31,2000,175
2021-04-01,11,34.0,9.0,0.038,20.2,0,2.9,25,2000,247
2021-04-01,12,40.0,8.0,0.042,21.7,0,3.2,21,2000,269
2021-04-01,13,37.0,9.0,0.044,22.6,0,3.5,20,2000,289
2021-04-01,14,43.0,10.0,0.044,23.6,0,3.2,20,2000,265
2021-04-01,15,40.0,9.0,0.045,23.2,0,3.6,19,2000,342
2021-04-01,16,46.0,10.0,0.045,23.5,0,3.0,20,2000,369
2021-04-01,17,50.0,12.0,0.043,23.0,0,3.6,22,2000,564
2021-04-01,18,51.0,16.0,0.039,22.3,0,2.4,24,2000,820
2021-04-01,19,50.0,14.0,0.037,20.6,0,4.6,25,2000,526
2021-04-01,20,39.0,13.0,0.036,19.2,0,3.4,27,2000,435
2021-04-01,21,44.0,12.0,0.034,18.1,0,3.7,33,2000,396
2021-04-01,22,48.0,13.0,0.037,16.5,0,6.5,38,2000,307
2021-04-01,23,46.0,12.0,0.038,15.4,0,5.7,40,2000,157
2021-04-02,0,49.0,11.0,0.039,14.6,0,5.1,41,2000,85
2021-04-02,1,45.0,11.0,0.04,14.2,0,4.8,39,2000,48
2021-04-02,2,45.0,13.0,0.04,13.7,0,4.3,39,2000,17
2021-04-02,3,44.0,10.0,0.039,12.9,0,4.8,43,2000,20
2021-04-02,4,45.0,11.0,0.039,12.6,0,5.0,45,2000,12
2021-04-02,5,41.0,10.0,0.037,12.8,0,3.7,45,2000,24
2021-04-02,6,41.0,9.0,0.034,12.7,0,3.6,45,2000,72
2021-04-02,7,37.0,9.0,0.032,12.9,0,4.0,44,2000,169
2021-04-02,8,39.0,9.0,0.032,13.6,0,4.1,42,2000,336
2021-04-02,9,39.0,7.0,0.035,15.4,0,4.9,38,2000,207
2021-04-02,10,38.0,7.0,0.036,17.4,0,3.9,34,2000,211
2021-04-02,11,37.0,7.0,0.037,18.9,0,3.9,29,2000,233
2021-04-02,12,36.0,8.0,0.039,20.7,0,3.9,26,2000,289
2021-04-02,13,34.0,10.0,0.041,21.6,0,2.8,26,2000,286
2021-04-02,14,38.0,11.0,0.042,22.0,0,2.1,26,2000,314
2021-04-02,15,35.0,12.0,0.042,22.9,0,1.6,26,2000,360
2021-04-02,16,39.0,13.0,0.036,22.3,0,0.9,27,2000,392
2021-04-02,17,42.0,13.0,0.025,21.7,0,1.9,29,2000,507
2021-04-02,18,54.0,18.0,0.01,21.0,0,1.8,30,2000,582
2021-04-02,19,58.0,19.0,0.008,19.9,0,2.3,34,2000,411
2021-04-02,20,58.0,24.0,0.015,19.4,0,2.9,35,2000,331
2021-04-02,21,56.0,22.0,0.009,19.0,0,0.8,36,2000,366
2021-04-02,22,61.0,24.0,0.002,18.8,0,2.5,38,2000,344
2021-04-02,23,56.0,22.0,0.002,18.4,0,2.4,40,2000,183
2021-04-03,0,51.0,20.0,0.006,18.0,0,2.4,41,2000,126
2021-04-03,1,49.0,19.0,0.022,17.7,0,1.8,45,2000,62
2021-04-03,2,48.0,18.0,0.019,17.6,0,2.5,49,2000,58
2021-04-03,3,47.0,17.0,0.023,17.7,0,2.4,51,2000,38
2021-04-03,4,47.0,19.0,0.03,17.6,0,2.4,54,2000,18
2021-04-03,5,45.0,16.0,0.026,17.6,0,2.5,57,2000,12
2021-04-03,6,46.0,16.0,0.027,17.4,0,3.4,59,2000,25
2021-04-03,7,45.0,16.0,0.026,17.3,0,3.2,60,2000,43
2021-04-03,8,43.0,17.0,0.022,17.3,0,2.6,60,2000,62
2021-04-03,9,47.0,17.0,0.026,17.5,0,1.4,62,2000,45
2021-04-03,10,49.0,18.0,0.026,16.8,1,1.9,79,521,5
