,지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
0,서울 종로구,도시대기,111123,종로구,2022010101,0.003,0.4,0.026,0.016,23,12,서울 종로구 종로35가길 19
1,서울 종로구,도시대기,111123,종로구,2022010102,0.003,0.4,0.022,0.02,20,9,서울 종로구 종로35가길 19
2,서울 종로구,도시대기,111123,종로구,2022010103,0.003,0.5,0.014,0.028,20,9,서울 종로구 종로35가길 19
3,서울 종로구,도시대기,111123,종로구,2022010104,0.003,0.5,0.016,0.027,19,10,서울 종로구 종로35가길 19
4,서울 종로구,도시대기,111123,종로구,2022010105,0.003,0.5,0.005,0.04,24,11,서울 종로구 종로35가길 19
5,서울 종로구,도시대기,111123,종로구,2022010106,0.003,0.6,0.002,0.045,19,11,서울 종로구 종로35가길 19
6,서울 종로구,도시대기,111123,종로구,2022010107,0.003,0.6,0.002,0.044,24,14,서울 종로구 종로35가길 19
7,서울 종로구,도시대기,111123,종로구,2022010108,0.003,0.6,0.002,0.042,27,16,서울 종로구 종로35가길 19
8,서울 종로구,도시대기,111123,종로구,2022010109,0.003,0.6,0.006,0.038,26,12,서울 종로구 종로35가길 19
9,서울 종로구,도시대기,111123,종로구,2022010110,0.004,0.5,0.019,0.024,22,10,서울 종로구 종로35가길 19
10,서울 종로구,도시대기,111123,종로구,2022010111,0.004,0.4,0.024,0.02,22,10,서울 종로구 종로35가길 19
11,서울 종로구,도시대기,111123,종로구,2022010112,0.004,0.5,0.021,0.025,22,10,서울 종로구 종로35가길 19
12,서울 종로구,도시대기,111123,종로구,2022010113,0.004,0.5,0.02,0.028,28,17,서울 종로구 종로35가길 19
13,서울 종로구,도시대기,111123,종로구,2022010114,0.004,0.5,0.02,0.027,27,15,서울 종로구 종로35가길 19
14,서울 종로구,도시대기,111123,종로구,2022010115,0.004,0.5,0.02,0.03,29,18,서울 종로구 종로35가길 19
15,서울 종로구,도시대기,111123,종로구,2022010116,0.004,0.5,0.017,0.032,29,18,서울 종로구 종로35가길 19
16,서울 종로구,도시대기,111123,종로구,2022010117,0.004,0.5,0.012,0.039,36,20,서울 종로구 종로35가길 19
17,서울 종로구,도시대기,111123,종로구,2022010118,0.004,0.6,0.005,0.046,34,21,서울 종로구 종로35가길 19
18,서울 종로구,도시대기,111123,종로구,2022010119,0.004,0.7,0.002,0.052,35,22,서울 종로구 종로35가길 19
19,서울 종로구,도시대기,111123,종로구,2022010120,0.004,0.7,0.002,0.05,34,19,서울 종로구 종로35가길 19
20,서울 종로구,도시대기,111123,종로구,2022010121,0.004,0.8,0.002,0.053,36,20,서울 종로구 종로35가길 19
21,서울 종로구,도시대기,111123,종로구,2022010122,0.004,1,0.002,0.06,38,23,서울 종로구 종로35가길 19
22,서울 종로구,도시대기,111123,종로구,2022010123,0.005,1.2,0.002,0.066,41,29,서울 종로구 종로35가길 19
23,서울 종로구,도시대기,111123,종로구,2022010124,0.005,1.2,0.002,0.064,42,26,서울 종로구 종로35가길 19
24,서울 종로구,도시대기,111123,종로구,2022010201,0.004,0.8,0.002,0.052,38,24,서울 종로구 종로35가길 19
25,서울 종로구,도시대기,111123,종로구,2022010202,0.004,0.8,0.002,0.052,34,23,서울 종로구 종로35가길 19
26,서울 종로구,도시대기,111123,종로구,2022010203,0.004,0.8,0.002,0.052,35,26,서울 종로구 종로35가길 19
27,서울 종로구,도시대기,111123,종로구,2022010204,0.004,0.6,0.002,0.046,33,24,서울 종로구 종로35가길 19
28,서울 종로구,도시대기,111123,종로구,2022010205,0.003,0.5,0.005,0.039,33,25,서울 종로구 종로35가길 19
29,서울 종로구,도시대기,111123,종로구,2022010206,0.004,0.5,0.005,0.037,32,23,서울 종로구 종로35가길 19
30,서울 종로구,도시대기,111123,종로구,2022010207,0.003,0.5,0.004,0.041,33,26,서울 종로구 종로35가길 19
31,서울 종로구,도시대기,111123,종로구,2022010208,0.003,0.6,0.002,0.042,33,22,서울 종로구 종로35가길 19
32,서울 종로구,도시대기,111123,종로구,2022010209,0.003,0.6,0.003,0.042,35,22,서울 종로구 종로35가길 19
33,서울 종로구,도시대기,111123,종로구,2022010210,0.003,0.6,0.006,0.039,34,24,서울 종로구 종로35가길 19
34,서울 종로구,도시대기,111123,종로구,2022010211,0.003,0.6,0.012,0.031,42,30,서울 종로구 종로35가길 19
35,서울 종로구,도시대기,111123,종로구,2022010212,0.003,0.6,0.022,0.017,56,45,서울 종로구 종로35가길 19
36,서울 종로구,도시대기,111123,종로구,2022010213,0.004,0.6,0.027,0.016,58,46,서울 종로구 종로35가길 19
37,서울 종로구,도시대기,111123,종로구,2022010214,0.004,0.5,0.031,0.014,55,43,서울 종로구 종로35가길 19
38,서울 종로구,도시대기,111123,종로구,2022010215,0.004,0.5,0.037,0.012,43,33,서울 종로구 종로35가길 19
39,서울 종로구,도시대기,111123,종로구,2022010216,0.004,0.5,0.036,0.013,34,27,서울 종로구 종로35가길 19
