지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2022-01-01 00:00,-8.5,,,,1.9,,320,,41,,1.3,-19.4,1021.9,,1033.2,,,9,,9,,,0,0,,,2000,,,-7,,-1,-1,-.2,1
108,서울,2022-01-01 01:00,-9.2,,,,1.8,,270,,42,,1.3,-19.7,1022.2,,1033.6,,,9,,9,,,0,0,,,2000,,,-7.2,,-1.1,-1.1,-.2,1
108,서울,2022-01-01 02:00,-9.5,,,,1.2,,270,,43,,1.3,-19.7,1022.3,,1033.7,,,9,,9,,,0,0,,,2000,,,-7.5,,-1.3,-1.2,-.2,1
108,서울,2022-01-01 03:00,-9.3,,,,1.4,,290,,46,,1.4,-18.8,1022.6,,1034,,,9,,9,,,0,0,,,2000,,,-7.6,,-1.4,-1.2,-.2,1
108,서울,2022-01-01 04:00,-9.6,,,,1.7,,340,,48,,1.4,-18.5,1021.9,,1033.3,,,9,,9,,,0,0,,,2000,,,-7.6,,-1.4,-1.3,-.3,1
108,서울,2022-01-01 05:00,-9.7,,,,.8,,270,,51,,1.5,-17.9,1022,,1033.4,,,9,,9,,,0,0,,,2000,,,-7.7,,-1.5,-1.4,-.3,1
108,서울,2022-01-01 06:00,-9.8,,,,1.9,,20,,53,,1.5,-17.6,1021.7,,1033.1,,,9,,9,,,0,0,,,2000,,,-7.6,,-1.6,-1.4,-.3,.9
108,서울,2022-01-01 07:00,-10.1,,,,1.9,,50,,55,,1.6,-17.4,1021.6,,1033,,,9,,9,,,0,0,,,2000,,,-7.6,,-1.6,-1.5,-.3,.9
108,서울,2022-01-01 08:00,-10.2,,,,2.5,,20,,56,,1.6,-17.3,1021.8,,1033.2,,0,,0,,,,0,0,,,2000,,,-7.4,,-1.7,-1.5,-.3,.9
108,서울,2022-01-01 09:00,-9.1,,,,2.1,,50,,56,,1.7,-16.2,1021.9,,1033.3,,1,,.3,,,,0,0,,,2000,,,-6.4,,-1.7,-1.6,-.4,.9
108,서울,2022-01-01 10:00,-6.8,,,,2.3,,50,,42,,1.6,-17.5,1022.4,,1033.7,,1,,.84,,,,1,0,Ci,,2000,,,-3.1,,-1.5,-1.5,-.4,.9
